level,name,capacity_class,capacity,unit_count,notes
FACILITY,(Hospital),SOURCE_RAW,524,43,Sum of CSV Bed column (blank treated as 0)
FACILITY,(Hospital),AFTER_DQ9,515,43,524 minus ED-ADMIN 7 minus OR-ADMIN 2 — mixed-class total; NOT licensed inpatient
FACILITY,(Hospital),INPATIENT_LICENSED,281,14,Includes ICU-EXT-2 (14) still pending DQ-1a
FACILITY,(Hospital),INPATIENT_LICENSED_EXCL_DQ1A,267,13,If ICU-EXT-2 merged as duplicate of ICU-EXT
FACILITY,(Hospital),ED_STRETCHER,118,4,ED-RESUS 39 + ED-FTOBS 32 + ED-MC 32 + UCC 15 (UCC re-parented)
FACILITY,(Hospital),PACU_BAY,8,1,PACU recovery bays — patient-placeable; not MOH licensed beds
FACILITY,(Hospital),OR_TABLE,12,1,Operating tables — not ADT beds
FACILITY,(Hospital),PROCEDURE_ROOM,41,8,Plaster 9 + Plaster-2 9 + NBS 3 + RRT 5 + EEG 2 + Endo 5 + Blood 2 + Rad 6
FACILITY,(Hospital),AMBULATORY_CHAIR,47,6,Day surgery 9 + day care 3 + OPD 19 + clinics 4 + diabetic 10 + discharge 2
FACILITY,(Hospital),SUPPORT,0,9,ED-NAV + ED-NAV-2 + ED-ADMIN + OR-ADMIN + 5 admin/support rows
DEPARTMENT,EMERGENCY & ACUTE CARE,ED_STRETCHER,118,6,6 units after UCC re-parent; ED-NAV/ED-ADMIN non-bedded
DEPARTMENT,SURGICAL & PERIOPERATIVE SERVICES,INPATIENT_LICENSED,0,4,OR tables + PACU bays + plaster + OR-ADMIN — no licensed inpatient
DEPARTMENT,CRITICAL CARE & INTENSIVE SERVICES,INPATIENT_LICENSED,99,3,ICU-MAIN 79 + ICU-EXT 14 + HDU 6
DEPARTMENT,GENERAL & SPECIALTY SERVICES,INPATIENT_LICENSED,182,30,Wards 156 + Jail 12 + ICU-EXT-2 14 pending; 30 units after UCC left
UNIT_GROUP,CRITICAL CARE,INPATIENT_LICENSED,113,4,99 in Critical dept + ICU-EXT-2 (14) still parented under Gen&Spec
UNIT_GROUP,ACUTE GENERAL CARE,INPATIENT_LICENSED,156,10,W3A..AKU (NBS reclassified PROCEDURE_ROOM)
UNIT_GROUP,SECURE CARE,INPATIENT_LICENSED,12,1,Jail Ward
UNIT_GROUP,EMERGENCY,ED_STRETCHER,118,6,
UNIT_GROUP,PERIOPERATIVE,OR_TABLE,12,5,OR + PACU + Plaster + Plaster-2 + OR-ADMIN (mixed classes)
