unit_code,department,unit_group,unit_name,unit_type,care_setting,capacity_class,source_bed_count,bed_capacity,is_bedded,dq_flag
ED-RESUS,EMERGENCY & ACUTE CARE,EMERGENCY,ED Resuscitation Area,ED,EMERGENCY,ED_STRETCHER,39,39,yes,DQ10_CLASSIFIED
ED-FTOBS,EMERGENCY & ACUTE CARE,EMERGENCY,ED Fast-track/Observation Area,ED,EMERGENCY,ED_STRETCHER,32,32,yes,DQ10_CLASSIFIED
ED-MC,EMERGENCY & ACUTE CARE,EMERGENCY,ED Maternal & Child,ED,EMERGENCY,ED_STRETCHER,32,32,yes,DQ11_ED_OBS
ED-NAV,EMERGENCY & ACUTE CARE,EMERGENCY,ED Navigation,SUPPORT,SUPPORT,SUPPORT,3,,no,DQ2_NON_BEDDED
ED-ADMIN,EMERGENCY & ACUTE CARE,EMERGENCY,ED Administration & Support,SUPPORT,SUPPORT,SUPPORT,7,,no,DQ9_APPLIED
OR,SURGICAL & PERIOPERATIVE SERVICES,PERIOPERATIVE,Operation Room (OR) Suites,OR,PERIOPERATIVE,OR_TABLE,12,12,no,DQ10_NOT_INPATIENT
PACU,SURGICAL & PERIOPERATIVE SERVICES,PERIOPERATIVE,Recovery/PACU (Post-Op),PACU,PERIOPERATIVE,PACU_BAY,8,8,yes,DQ10_CLASSIFIED
PLASTER,SURGICAL & PERIOPERATIVE SERVICES,PERIOPERATIVE,Plaster Unit,PROCEDURE,PERIOPERATIVE,PROCEDURE_ROOM,9,9,no,DQ10_NOT_INPATIENT
OR-ADMIN,SURGICAL & PERIOPERATIVE SERVICES,PERIOPERATIVE,OR Administration & Support,SUPPORT,SUPPORT,SUPPORT,2,,no,DQ9_APPLIED
ICU-MAIN,CRITICAL CARE & INTENSIVE SERVICES,CRITICAL CARE,Intensive Care Unit (ICU) Main,ICU,CRITICAL_CARE,INPATIENT_LICENSED,79,79,yes,
ICU-EXT,CRITICAL CARE & INTENSIVE SERVICES,CRITICAL CARE,ICU Extension,ICU,CRITICAL_CARE,INPATIENT_LICENSED,14,14,yes,
