unit_code,unit_name,department,capacity_class,is_bedded,source_bed_count,registry_licensed_capacity,registry_resource_capacity,dq_flag,walk_status,physical_exists,separate_footprint,physical_beds_counted,licensed_from_register,operational_today,desk_recommendation,notes
ED-RESUS,ED Resuscitation Area,EMERGENCY & ACUTE CARE,ED_STRETCHER,yes,39,0,39,DQ10_CLASSIFIED,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_STRETCHERS,Count stretchers/bays; do not add to MOH licensed inpatient.
ED-FTOBS,ED Fast-track/Observation Area,EMERGENCY & ACUTE CARE,ED_STRETCHER,yes,32,0,32,DQ10_CLASSIFIED,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_STRETCHERS,Count stretchers/bays; do not add to MOH licensed inpatient.
ED-MC,ED Maternal & Child,EMERGENCY & ACUTE CARE,ED_STRETCHER,yes,32,0,32,DQ11_ED_OBS,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_STRETCHERS,Count stretchers/bays; do not add to MOH licensed inpatient.
ED-NAV,ED Navigation,EMERGENCY & ACUTE CARE,SUPPORT,no,3,0,0,DQ2_NON_BEDDED,NOT_WALKED,UNKNOWN,UNKNOWN,,,,KEEP_NON_BEDDED,Navigation is not licensed beds. Confirm one vs two desks on the walk.
ED-ADMIN,ED Administration & Support,EMERGENCY & ACUTE CARE,SUPPORT,no,7,0,0,DQ9_APPLIED,NOT_WALKED,UNKNOWN,UNKNOWN,,,,KEEP_SUPPORT,Admin/support numeric Bed already removed from assignable.
OR,Operation Room (OR) Suites,SURGICAL & PERIOPERATIVE SERVICES,OR_TABLE,no,12,0,12,DQ10_NOT_INPATIENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify OR_TABLE count; not ADT licensed beds.
PACU,Recovery/PACU (Post-Op),SURGICAL & PERIOPERATIVE SERVICES,PACU_BAY,yes,8,0,8,DQ10_CLASSIFIED,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify PACU_BAY count; not ADT licensed beds.
PLASTER,Plaster Unit,SURGICAL & PERIOPERATIVE SERVICES,PROCEDURE_ROOM,no,9,0,9,DQ10_NOT_INPATIENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify PROCEDURE_ROOM count; not ADT licensed beds.
OR-ADMIN,OR Administration & Support,SURGICAL & PERIOPERATIVE SERVICES,SUPPORT,no,2,0,0,DQ9_APPLIED,NOT_WALKED,UNKNOWN,UNKNOWN,,,,KEEP_SUPPORT,Admin/support numeric Bed already removed from assignable.
ICU-MAIN,Intensive Care Unit (ICU) Main,CRITICAL CARE & INTENSIVE SERVICES,INPATIENT_LICENSED,yes,79,79,79,,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_LICENSED_BEDS,Walk and count licensed vs operational beds.
ICU-EXT,ICU Extension,CRITICAL CARE & INTENSIVE SERVICES,INPATIENT_LICENSED,yes,14,14,14,,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_LICENSED_BEDS,Walk and count licensed vs operational beds.
HDU,High Dependency Unit (HDU),CRITICAL CARE & INTENSIVE SERVICES,INPATIENT_LICENSED,yes,6,6,6,,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_LICENSED_BEDS,Walk and count licensed vs operational beds.
