role_code,normal_scope,current_prototype_permissions,target_v2_responsibilities,explicitly_prohibited,accountable_owner,status
SYS_ADMIN,FACILITY,"ORG_READ;ORG_WRITE;BED_READ;BED_CONTROL;BED_BLOCK;ADT_WRITE;SCHED_WRITE;APPROVE;AUDIT_READ;ANALYTICS_READ","Technical identity integration; security configuration; role catalogue administration; diagnostics","Routine BED_CONTROL; SCHED_PUBLISH; ADT clinical writes; clinical exception approval; credential verification; permanent SoD waiver",IT Security,"PENDING CHANGE — BLOCKING"
ORG_ADMIN,FACILITY,"ORG_READ;ORG_WRITE;AUDIT_READ","Organization taxonomy administration and controlled directory correction","Bed/ADT writes; roster publication; clinical approval",Org Directory Owner,"RETAIN WITH REVIEW"
HOUSE_VIEW,FACILITY,"ORG_READ;BED_READ;ANALYTICS_READ","Hospital census and operations visibility","All operational writes",DON,"RETAIN"
ADT_CLERK,DEPARTMENT,"ORG_READ;ADT_WRITE;BED_READ;BED_REQUEST","ADT registration and bed request within authorized scope","BED_CONTROL; BED_BLOCK; SCHED_PUBLISH; approval",ADT Owner,"RETAIN WITH ADT_WRITE DECOMPOSITION"
BED_COORD,FACILITY,"ORG_READ;BED_READ;BED_CONTROL;BED_BLOCK;ADT_WRITE","Facility patient placement/release and approved bed-state operations","Roster publication; own exception approval",Nursing Operations,"RETAIN"
HOUSE_SUP,FACILITY,"ORG_READ;BED_READ;BED_CONTROL;BED_BLOCK;ADT_WRITE;APPROVE","After-hours placement; bed blocking; operational escalation","Roster publication; identity/role administration",Nursing Operations,"RETAIN WITH APPROVAL DECOMPOSITION"
CHARGE,UNIT,"ORG_READ;BED_READ;BED_CONTROL;BED_BLOCK;ADT_WRITE","Unit-scoped placement and approved unit operational actions during effective assignment","Cross-unit control without delegation/elevation; roster publication; own exception approval",Nursing Operations,"RETAIN WITH CONTEXT CONTROL"
UNIT_MGR,DEPARTMENT_OR_UNIT,"ORG_READ;BED_READ;BED_BLOCK;APPROVE;ANALYTICS_READ","Staffing/roster review; operational approval; bed read/block; analytics","Patient placement through BED_CONTROL; preparing and solely approving same roster",DON,"RETAIN"
ADON,FACILITY,"ORG_READ;BED_READ;APPROVE;AUDIT_READ;ANALYTICS_READ","Operational oversight; governed escalation; analytics and audit review","Routine placement; routine roster preparation; own exception approval",DON,"RETAIN WITH APPROVAL DECOMPOSITION"
DON,FACILITY,"ORG_READ;BED_READ;APPROVE;AUDIT_READ;ANALYTICS_READ","Governance; high-risk approval; compliance oversight; analytics; audit review","Routine placement; routine roster preparation; technical role administration",Hospital Director,"RETAIN WITH APPROVAL DECOMPOSITION"
SCHEDULER,DEPARTMENT,"ORG_READ;SCHED_WRITE;BED_READ","Roster preparation/publication within approved workflow and scope; census read","BED_CONTROL; BED_BLOCK; patient placement; sole approval where dual control applies",Workforce Manager,"RETAIN — SOD CRITICAL"
WORKFORCE_MGR,FACILITY,"ORG_READ;SCHED_WRITE;BED_READ;ANALYTICS_READ","Facility workforce planning; roster oversight; analytics","BED_CONTROL; patient placement; sole approval of own prepared roster",DON,"RETAIN — SOD CRITICAL"
EDUC_MGR,FACILITY,"ORG_READ;ANALYTICS_READ","Competency/training administration and reporting after atomic permissions are added","Bed/ADT writes; roster publication; verifying own evidence",DON,"PENDING PERMISSION EXPANSION"
INFORMATICS,FACILITY,"ORG_READ;ANALYTICS_READ;AUDIT_READ","Clinical-system support; reporting; approved diagnostic access","Operational clinical writes; role approval; audit modification",CIO and DON,"RETAIN WITH SUPPORT CONTROLS"
HR,DEPARTMENT_OR_FACILITY,"ORG_READ","Employment and identity lifecycle after atomic HR permissions are added","Bed/ADT writes; roster publication; clinical exception approval",HR Director,"PENDING PERMISSION EXPANSION"
AUDIT,FACILITY,"ORG_READ;AUDIT_READ;ANALYTICS_READ","Independent read-only audit and compliance review","Operational write; grant approval; alteration of evidence",Internal Audit,"RETAIN"
TEAM_LEAD,UNIT,"ORG_READ;BED_READ;BED_REQUEST","Unit visibility; bed request; approved care coordination","BED_CONTROL; roster publication; own approval",Nursing Operations,"RETAIN"
STAFF,UNIT_SHIFT_CARE_RELATIONSHIP,"ORG_READ;BED_READ","Own profile; assigned shift view; approved care assignment using separate CARE_ASSIGNMENT_WRITE","BED_CONTROL; roster publication; approval; cross-unit access without context",DON,"PENDING CONTEXT POLICY"
NURSE_ASSIST,UNIT_SHIFT,"ORG_READ","Own profile and minimum assigned-unit/shift view","BED_CONTROL; ADT write; roster publication; approval",DON,"PENDING CONTEXT POLICY"

